,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
11117,stromal,CREB5,1,0,0,0,1,2
11118,myofibroblasts,CSAD,0,0,0,0,0,0
11119,gi_epithelial,CSAD,0,0,1,0,0,1
11120,myofibroblasts,CTTNBP2NL,1,0,0,1,0,2
11121,gi_epithelial,CTTNBP2NL,1,0,1,1,0,3
11122,myofibroblasts,CYGB,1,0,1,1,0,3
11123,stromal,CYGB,1,0,0,1,1,3
11124,myofibroblasts,DAB2,1,1,1,1,0,4
11125,gi_epithelial,DAB2,1,1,1,1,1,5
11126,gi_epithelial,PRKCA,1,0,1,0,0,2
11127,stromal,PRKCA,1,0,0,1,0,2
11128,gi_epithelial,PRKCQ,1,1,0,0,1,3
11129,cd8_Tcells,PRKCQ,1,0,1,0,0,2
11130,myofibroblasts,BID,1,0,1,0,1,3
11131,gi_epithelial,BID,1,0,1,1,0,3
11132,myofibroblasts,ANGPTL4,0,1,1,0,0,2
11133,stromal,ANGPTL4,0,1,1,0,1,3
11134,myofibroblasts,ACBD3,1,0,1,1,0,3
11135,gi_epithelial,ACBD3,1,0,1,0,0,2
11136,myofibroblasts,ACVRL1,1,0,1,1,1,4
11137,endothelial,ACVRL1,1,0,0,0,0,1
11138,myofibroblasts,ACYP1,1,0,0,1,0,2
11139,gi_epithelial,ACYP1,1,0,1,0,0,2
11140,myofibroblasts,ADAM33,1,1,0,0,0,2
11141,stromal,ADAM33,1,1,1,1,1,5
11142,myofibroblasts,ADAMTS10,1,0,1,0,0,2
11143,gi_epithelial,ADAMTS10,1,0,1,0,1,3
11144,myofibroblasts,ADARB2,0,0,0,1,0,1
11145,gi_epithelial,ADARB2,0,0,1,0,0,1
11146,myofibroblasts,AKAP1,1,0,0,0,0,1
11147,gi_epithelial,AKAP1,1,0,1,0,0,2
11148,myofibroblasts,AKR1A1,1,0,1,1,1,4
11149,monocytes_macs_DCs,AKR1A1,1,0,1,1,0,3
11150,myofibroblasts,ANAPC16,0,0,0,1,0,1
11151,gi_epithelial,ANAPC16,0,0,1,0,0,1
11152,myofibroblasts,AOC3,1,0,1,0,0,2
11153,gi_epithelial,AOC3,1,0,1,0,1,3
11154,myofibroblasts,BCAM,1,0,1,1,0,3
11155,gi_epithelial,BCAM,1,0,1,1,0,3
11156,myofibroblasts,APMAP,1,0,1,0,0,2
11157,gi_epithelial,APMAP,1,0,1,1,0,3
11158,myofibroblasts,ARGLU1,0,0,0,0,0,0
11159,fibroblasts,ARGLU1,0,0,0,0,0,0
11160,gi_epithelial,RPL7P48,0,0,1,1,0,2
11161,stromal,RPL7P48,0,0,1,1,0,2
11162,myofibroblasts,ARPC1A,0,1,0,0,0,1
11163,gi_epithelial,ARPC1A,0,0,1,0,0,1
11164,myofibroblasts,ASB13,0,0,0,1,0,1
